attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition,pub_chem,inchi_key,inchi
lithology,UU1,UU,UU1,clay,Hierarchy of lithology from the group of unspecified deposits of type clay,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MB3,MB,MB3,gneiss rich in Fe–Mg minerals,Hierarchy of lithology from the major class of metamorphic rock and the group of basic metamorphic of type gneiss rich in Fe–Mg minerals,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,II1,II,II1,"andesite, trachyte, phonolite","Hierarchy of lithology from the major class of igneous rock and the group of intermediate igneous of type andesite, trachyte, phonolite",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UA,U,UA,anthropogenic/technogenic,Hierarchy of lithology from the group of anthropogenic/technogenic,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UC1,UC,UC1,slope deposits,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of colluvial of type slope deposits,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SO2,SO,SO2,marl and other mixtures,"Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of carbonatic, organic of type marl and other mixtures",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UU5,UU,UU5,"gravel, broken rock","Hierarchy of lithology from the group of unspecified deposits of type gravel, broken rock",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IB1,IB,IB1,gabbro,Hierarchy of lithology from the major class of igneous rock and the group of basic igneous of type gabbro,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IA,I,IA,acid igneous,Hierarchy of lithology from the major class of igneous rock and the group of acid igneous,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IA4,IA,IA4,rhyolite,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of acid igneous of type rhyolite,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MB2,MB,MB2,(green)schist,Hierarchy of lithology from the major class of metamorphic rock and the group of acid metamorphic of type (green)schist,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IU2,IU,IU2,pyroxenite,Hierarchy of lithology from the major class of igneous rock and the group of ultrabasic igneous of type pyroxenite,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UF1,UF,UF1,sand and gravel,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of fluvial of type sand and gravel,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SC4,SC,SC4,shale,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of clastic sediments of type shale,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MA3,MA,MA3,"slate, phyllite (pelitic rocks)","Hierarchy of lithology from the major class of metamorphic rock and the group of acid metamorphic of type slate, phyllite (pelitic rocks)",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UC,U,UC,colluvial,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of colluvial,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UE2,UE,UE2,sand,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of lacustrine of type sand,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IP2,IP,IP2,volcanic scoria/breccia,Hierarchy of lithology from the major class of igneous rock and the group of pyroclastic of type volcanic scoria/breccia,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MB,M,MB,basic metamorphic,Hierarchy of lithology from the major class of metamorphic rock and the group of basic metamorphic,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UE1,UE,UE1,loess,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of eolian of type loess,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IB3,IB,IB3,dolerite,Hierarchy of lithology from the major class of igneous rock and the group of basic igneous of type dolerite,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SC2,SC,SC2,"sandstone, greywacke, arkose","Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of clastic sediments of type sandstone, greywacke, arkose",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IP4,IP,IP4,ignimbrite,Hierarchy of lithology from the major class of metamorphic rock and the group of acid metamorphic of type ignimbrite,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IU1,IU,IU1,peridotite,Hierarchy of lithology from the major class of igneous rock and the group of ultrabasic igneous of type peridotite,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UL,U,UL,lacustrine,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of lacustrine,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MB5,MB,MB5,amphibolite,Hierarchy of lithology from the major class of metamorphic rock and the group of basic metamorphic of type amphibolite,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MA1,MA,MA1,quartzite,Hierarchy of lithology from the major class of metamorphic rock and the group of acid metamorphic of type quartzite,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UU3,UU,UU3,sand,Hierarchy of lithology from group of unspecified depositsof type sand,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UK,U,UK,kryogenic,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of kryogenic,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UL1,UL,UL1,sand,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of lacustrine of type sand,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UO1,UO,UO1,rainwater-fed moor peat,Hierarchy of lithology from the group of organic of type rainwater-fed moor peat,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UK1,UK,UK1,periglacial rock debris,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of kryogenic of type periglacial rock debris,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UG3,UG,UG3,UG3 glacio-fluvial gravel,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of kryogenic of type glacio-fluvial gravel,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SO3,SO,SO3,"coals, bitumen and related rocks","Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of carbonatic, organic of type coals, bitumen and related rocks",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UA1,UA,UA1,redeposited natural material,Hierarchy of lithology from the group of anthropogenic/technogenic of type redeposited natural material,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UO2,UO,UO2,groundwater-fed bog peat,Hierarchy of lithology from the group of organic of type groundwater-fed bog peat,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UR1,UR,UR1,"bauxite, laterite","Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of weathered residuum of type bauxite, laterite",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SE,S,SE,evaporites,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of evaporites,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SC1,SC,SC1,"conglomerate, breccia","Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of clastic sediments of type conglomerate, breccia",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IA3,IA,IA3,quartz-diorite,Hierarchy of lithology from the major class of igneous rock and the group of acid igneous of type quartz-diorite,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UM1,UM,UM1,sand,"Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of marine, estuarine of type sand",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MB4,MB,MB4,metamorphic limestone (marble),Hierarchy of lithology from the major class of metamorphic rock and the group of basic metamorphic of type metamorphic limestone (marble),,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UM2,UM,UM2,clay and silt,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of marine and estuarine of type clay and silt,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SE1,SE,SE1,"anhydrite, gypsum","Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of acid evaporites of type anhydrite, gypsum",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SO1,SO,SO1,"limestone, other carbonate rock","Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of carbonatic, organic of type limestone, other carbonate rock",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SE2,SE,SE2,halite,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of evaporites of type halite,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MA2,MA,MA2,"gneiss, migmatite","Hierarchy of lithology from the major class of metamorphic rock and the group of acid metamorphic of type gneiss, migmatite",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UF,U,UF,fluvial,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of fluvial,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IP3,IP,IP3,volcanic ash,Hierarchy of lithology from the major class of igneous rock and the group of pyroclastic of type volcanic ash,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UU2,UU,UU2,loam and silt,Hierarchy of lithology from the group of unspecified deposits of type loam and silt,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UA2,UA,UA2,industrial/artisanal deposits,Hierarchy of lithology from the group of unspecified deposits of type industrial/artisanal deposits,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UU,U,UU,unspecified deposits,Hierarchy of lithology from the group of unspecified deposits,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MB1,MB,MB1,"slate, phyllite (pelitic rocks)","Hierarchy of lithology from the major class of metamorphic rock and the group of acid metamorphic of type slate, phyllite (pelitic rocks)",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UG,U,UG,glacial,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of glacial ,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SC,S,SC,clastic sediments,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of clastic sediments,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,II,I,II,intermediate igneous,Hierarchy of lithology from the major class of igneous rock and the group of intermediate igneous,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,U,,U,sedimentary rock (unconsolidated),Hierarchy of lithology from the major class of sedimentary rock (unconsolidated),,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MU1,MU,MU1,"serpentinite, greenstone","Hierarchy of lithology from the major class of metamorphic rock and the group of ultrabasic metamorphic of type serpentinite, greenstone",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UL2,UL,UL2,silt and clay,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of lacustrine of type silt and clay,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IB2,IB,IB2,basalt,Hierarchy of lithology from the major class of igneous rock and the group of basic igneous of type basalt,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IU3,IU,IU3,"ilmenite, magnetite, ironstone, serpentine","Hierarchy of lithology from the major class of igneous rock and the group of ultrabasic igneous of type ilmenite, magnetite, ironstone, serpentine",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,S,,S,sedimentary rock (consolidated),Hierarchy of lithology from the major class of sedimentary rock (consolidated),,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UC2,UC,UC2,lahar,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of colluvial of type lahar,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IB,I,IB,basic igneous,Hierarchy of lithology from the major class of igneous rock and the group of basic igneous,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MA4,MA,MA4,schist,Hierarchy of lithology from the major class of metamorphic rock and the group of acid metamorphic of type schist,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MB6,MB,MB6,eclogite,Hierarchy of lithology from the major class of metamorphic rock and the group of basic metamorphic of type eclogite,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,II2,II,II2,diorite-syenite,Hierarchy of lithology from the major class of igneous rock and the group of intermediate igneous of type diorite-syenite,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,M,,M,metamorphic rock,Hierarchy of lithology from the major class of metamorphic rock,,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SO,S,SO,"carbonatic, organic","Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of carbonatic, organic",,,False,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
peatVolume,SV2,,SV2,Between 3% and 5%,Solid Volume of percentage of 3 - 5 %,,,False,"Field estimation of volume of solids and bulk density of peat soils. See more in Guidelines for Soil Description issued by the FAO: table 59,2",,,
peatVolume,SV5,,SV5,More than or equal to 12 %,Solid Volume of percentage more than or equal to 12 %: ≥ 12%,,,False,"Field estimation of volume of solids and bulk density of peat soils. See more in Guidelines for Soil Description issued by the FAO: table 59,2",,,
peatVolume,SV1,,SV1,Less than 3%,Solid Volume of percentage less than 3%: < 3%,,,False,"Field estimation of volume of solids and bulk density of peat soils. See more in Guidelines for Soil Description issued by the FAO: table 59,2",,,
peatVolume,SV3,,SV3,Between 5% and 8%,Solid Volume of percentage of 5 - 8%,,,False,"Field estimation of volume of solids and bulk density of peat soils. See more in Guidelines for Soil Description issued by the FAO: table 59,2",,,
peatVolume,SV4,,SV4,Between 8% and 12%,Solid Volume of percentage of 8 to 12%,,,False,"Field estimation of volume of solids and bulk density of peat soils. See more in Guidelines for Soil Description issued by the FAO: table 59,2",,,
boundaryDistinctness,C,,C,Clear,2cm–5cm,,,False,The distinctness of the boundary refers to the thickness of the zone in which the horizon boundary can be located without being in one of the adjacent horizons. See more in the  Guidelines for Soil Description issued by the FAO: table 24.1,,,
boundaryDistinctness,D,,D,Diffuse,> 15cm,,,False,The distinctness of the boundary refers to the thickness of the zone in which the horizon boundary can be located without being in one of the adjacent horizons. See more in the  Guidelines for Soil Description issued by the FAO: table 24.1,,,
boundaryDistinctness,A,,A,Abrupt,0cm–2cm,,,False,The distinctness of the boundary refers to the thickness of the zone in which the horizon boundary can be located without being in one of the adjacent horizons. See more in the  Guidelines for Soil Description issued by the FAO: table 24.1,,,
boundaryDistinctness,G,,G,Gradual,5cm–15cm,,,False,The distinctness of the boundary refers to the thickness of the zone in which the horizon boundary can be located without being in one of the adjacent horizons. See more in the  Guidelines for Soil Description issued by the FAO: table 24.1,,,
mottlesAbundance,N,,N,None,The muttle abundance is zero,,,False,The abundance of mottles is described in terms of classes indicating the percentage of the exposed surface that the mottles occupy. See more in the Guidelines for Soil Description issued by the FAO: table 32,,,
mottlesAbundance,M,,M,Many,Muttle abundance of 15–40%,,,False,The abundance of mottles is described in terms of classes indicating the percentage of the exposed surface that the mottles occupy. See more in the Guidelines for Soil Description issued by the FAO: table 32,,,
mottlesAbundance,C,,C,Common,Commonly found muttle abundance of 5–15%,,,False,The abundance of mottles is described in terms of classes indicating the percentage of the exposed surface that the mottles occupy. See more in the Guidelines for Soil Description issued by the FAO: table 32,,,
mottlesAbundance,V,,V,Very few,Very few muttle abundace of 0–2 %,,,False,The abundance of mottles is described in terms of classes indicating the percentage of the exposed surface that the mottles occupy. See more in the Guidelines for Soil Description issued by the FAO: table 32,,,
mottlesAbundance,A,,A,Abundant,The muttle abundance is more than 40%,,,False,The abundance of mottles is described in terms of classes indicating the percentage of the exposed surface that the mottles occupy. See more in the Guidelines for Soil Description issued by the FAO: table 32,,,
mottlesAbundance,F,,F,Few,Fewer muttle abundace with 2–5 %,,,False,The abundance of mottles is described in terms of classes indicating the percentage of the exposed surface that the mottles occupy. See more in the Guidelines for Soil Description issued by the FAO: table 32,,,
textureUnconsolidated,,,,,,,,False,"Texture of a soil that is unconsolidated or loose, typically not bound into a compact mass. It describes the proportions of sand, silt, and clay in the soil, which directly influences the soil's physical properties such as water retention, aeration, and fertility. This texture classification can impact various soil management practices, such as tillage, irrigation, and erosion control. Source: Canadian Soil Information Service - chapter 17 & Geosciences libretexts - 3.1: Soil Texture and Structure. Possible values include unconsolidated Sand,Silt, Clay, Loam. Silty Sand, Clayey Sand",,,
silt,SWDF2,,SWDF2,Silt Water Dispersible Fraction 0.2,"Silt water dispersible fraction at 0.2 quantifies the amount of silt particles in the soil that can be dispersed at a 0.2 pressure. Dispersible silt can have a significant impact on soil stability and is particularly relevant for understanding how silt behaves under wet conditions, affecting erosion rates and water retention. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
silt,SWDF1,,SWDF1,Silt Water Dispersible Fraction 0.1,"Silt water dispersible fraction at 0.1 refers to the portion of silt particles that can be dispersed into water when subjected to a 0.1 pressure. This measure helps determine the soil's erodibility, as silt tends to be more easily dispersed than sand, contributing to the formation of suspended particles in water, which can affect water quality and soil health. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
