collection,concept,parent_concept,notation,label,definition,reference,citation,collection_definition,pub_chem,inchi_key,inchi
cropClass,Fr_Ma,Fr,Fr_Ma,Mangoes,Crop code for Mangoes from Fruits and melons class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Pu_Le,Pu,Pu_Le,Lentils,Crop code for Lentils from Pulses class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Fo_Ma,Fo,Fo_Ma,Maize,Crop code for Maize from Fodder plants class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Oi_Se,Oi,Oi_Se,Sesame,Crop code for Sesame from Oilcrops class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Ro_Ca,Ro,Ro_Ca,Cassava,Crop code for Cassava from Roots and tubers class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Pu_Be,Pu,Pu_Be,Beans,Crop code for Beans from Pulses class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Fr_Ba,Fr,Fr_Ba,Bananas,Crop code for Bananas from Fruits and melons class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Ro,,Ro,Roots and tubers,Crop code for Roots and tubers class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Pu,,Pu,Pulses,Crop code for Pulses class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Ce_So,Ce,Ce_So,Sorghum,Crop code for Sorghum from Cereals class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Lu,,Lu,Semi-luxury foods and tobacco,Crop code for Semi-luxury foods and tobacco class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Ce_Ry,Ce,Ce_Ry,Rye,Crop code for Rye from Cereal class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Oi_So,Oi,Oi_So,Soybeans,Crop code for Soybeans from Oilcrops class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Fo_Ha,Fo,Fo_Ha,Hay,Crop code for Hay from Fodder class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Lu_To,Lu,Lu_To,Tobacco,Crop code for Tobacco from Semi-luxury foods and tobacco class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Ve,,Ve,Vegetables,Crop code for Vegetables class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Fo_Le,Fo,Fo_Le,Leguminous,Crop code for Leguminous from fodder plants class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Fr_Ap,Fr,Fr_Ap,Apples,Crop code for Apples from Fruits and melons class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Oi_Op,Oi,Oi_Op,Oil-palm,Crop code for Oil-palm from Oilcrops class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Fi_Ju,Fi,Fi_Ju,Jute,Crop code for Jute from Fiber crops class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Fr_Ci,Fr,Fr_Ci,Citrus,Crop code for Citrus from Fruits and melons class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Ol,Oi,Oi_Ol,Olives,Crop code for Olives from Oilcrops class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Ot_Pa,Ot,Ot_Pa,"Palm (fibres, kernels)","Crop code for Palm (fibres, kernels) from other crops class",,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Oi_Li,Oi,Li,Linseed,Crop code for Linseed class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Oi_Gr,Oi,Oi_Gr,Groundnuts,Crop code for Groundnuts from Oilcrops class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Fo_Gr,Fo,Fo_Gr,Grasses,Crop code for Grasses from Fodder plants class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Ot_Ru,Ot,Ot_Ru,Rubber,Crop code for Rubber from Other crops class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Oi_Cc,Oi,Oi_Cc,Coconuts,Crop code for Coconuts from Oilcrops class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Ro_Su,Ro,Ro_Su,Sugar beets,Crop code for Sugar beets from Roots and tubers class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Ce_Mi,Ce,Ce_Mi,Millet,Crop code for Millet from Cereal class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Fo,,Fo,Fodder plants,Crop code for Fodder plants class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Fo_Cl,Fo,Fo_Cl,Clover,Crop code for Clover from Fodder class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Ce_Oa,Ce,Ce_Oa,Oats,Crop code for Oats from Cereals class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Ce_Pa,Ce,Ce_Pa,"Rice, paddy",Crop code for Rice and paddy from Cereal class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Fr_Gr,Fr,Fr_Gr,"Grapes, Wine, Raisins","Crop code for Grapes, Wine, Raisins from fruits and melons class",,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Fi_Co,Fi,Fi_Co,Cotton,Crop code for Cotton from Fiber crops class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Fi,,Fi,Fibre crops,Crop code for Fibre crops class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Ro_Ya,Ro,Ro_Ya,Yams,Crop code for Yams from Roots and tubers class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Ot,,Ot,Other crops,Crop code for Other crops class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Oi_Ra,Oi,Oi_Ra,Rape,Crop code for Rape from Oilcrops class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Oi,,Oi,Oilcrops,Crop code for Oilcrops class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Ce_Ma,Ce,Ce_Ma,Maize,Crop code for Maize from Cereals class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Pu_Pe,Pu,Pu_Pe,Peas,Crop code for Peas from Pulses class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
cropClass,Fo_Al,Fo,Fo_Al,Alfalfa,Crop code for Alfalfa from fodder plants class,,,Examples for the most common crops with their recommended codes. See more in guidelines for Soil Description issued by the FAO: table 9,,,
rockOutcropsCover,M,,M,Many,Rock outcorps of 15–40 % with distance between rockcorps 2–5 m,,,"Recommended classes of percentage of surface cover and of average distance between rock outcrops. See more in Guidelines for Soil Description issued by the FAO: table 14,1",,,
rockOutcropsCover,C,,C,Common,Rock outcorps of 5–15% with distance between rockcorps 5–20 m,,,"Recommended classes of percentage of surface cover and of average distance between rock outcrops. See more in Guidelines for Soil Description issued by the FAO: table 14,1",,,
rockOutcropsCover,V,,V,Very few,Rock outcorps of 0–2 % with distance between rockcorps greater than 50 m,,,"Recommended classes of percentage of surface cover and of average distance between rock outcrops. See more in Guidelines for Soil Description issued by the FAO: table 14,1",,,
rockOutcropsCover,A,,M,Abundant,Rock outcorps of 40–80% with distance between rockcorps less than 2 m,,,"Recommended classes of percentage of surface cover and of average distance between rock outcrops. See more in Guidelines for Soil Description issued by the FAO: table 14,1",,,
rockOutcropsCover,N,,N,,No rock outcorps on surface,,,"Recommended classes of percentage of surface cover and of average distance between rock outcrops. See more in Guidelines for Soil Description issued by the FAO: table 14,1",,,
rockOutcropsCover,F,,F,Few,Rock outcorps of 2–5 % with distance between rockcorps 20–50 m,,,"Recommended classes of percentage of surface cover and of average distance between rock outcrops. See more in Guidelines for Soil Description issued by the FAO: table 14,1",,,
rockOutcropsCover,D,,D,Dominant,Rock outcorps of more than 80%,,,"Recommended classes of percentage of surface cover and of average distance between rock outcrops. See more in Guidelines for Soil Description issued by the FAO: table 14,1",,,
surfaceAge,T,,T,Tertiary land surfaces,"Tertiary land surfaces, commonly high planes, terraces or peneplains, except incised valleys, frequent occurrence of palaeosoils.",,,The age of the landscape is important information from which the possible duration of the occurrence of soil formation processes can be derived. See more in guidelines for Soil Description issued by the FAO: table 13,,,
surfaceAge,oPf,,oPf,"Older Pleistocene, without periglacial influence.","Older Pleistocene, without periglacial influence.",,,The age of the landscape is important information from which the possible duration of the occurrence of soil formation processes can be derived. See more in guidelines for Soil Description issued by the FAO: table 13,,,
surfaceAge,Ha,,Ha,Holocene anthropogeomorphic,"Holocene (100–10 000 years) anthropogeomorphic: human-made relief modifications, such as terracing of forming hills or walls by early civilizations or during the Middle Ages or earlier, restriction of flooding by dykes, or surface raising.",,,The age of the landscape is important information from which the possible duration of the occurrence of soil formation processes can be derived. See more in guidelines for Soil Description issued by the FAO: table 13,,,
surfaceAge,Ya,,Ya,Young anthropogeomorphic,"Young (10–100 years) anthropogeomorphic: with complete disturbance of any natural surfaces (and soils) such as in urban, industrial and mining areas with early soil development from fresh natural, technogenic or a mixture of materials, or restriction of flooding by dykes.",,,The age of the landscape is important information from which the possible duration of the occurrence of soil formation processes can be derived. See more in guidelines for Soil Description issued by the FAO: table 13,,,
surfaceAge,oPp,,oPp,"Older Pleistocene, with periglacial influence","Older Pleistocene, with periglacial influence, commonly the recent soil formation on younger over older, preweathered materials.",,,The age of the landscape is important information from which the possible duration of the occurrence of soil formation processes can be derived. See more in guidelines for Soil Description issued by the FAO: table 13,,,
surfaceAge,Yn,,Yn,Young natural,"Young (10–100 years) natural: with loss by erosion or deposition of materials such as on tidal flats, of coastal dunes, river valleys, landslides or desert areas.",,,The age of the landscape is important information from which the possible duration of the occurrence of soil formation processes can be derived. See more in guidelines for Soil Description issued by the FAO: table 13,,,
surfaceAge,lPi,,lPi,"Late Pleistocene, ice covered","Late Pleistocene, ice covered, commonly recent soil formation on fresh materials.",,,The age of the landscape is important information from which the possible duration of the occurrence of soil formation processes can be derived. See more in guidelines for Soil Description issued by the FAO: table 13,,,
surfaceAge,oPi,,oPi,"Older Pleistocene, ice covered","Older Pleistocene, ice covered, commonly the recent soil formation on younger over older, preweathered materials.",,,The age of the landscape is important information from which the possible duration of the occurrence of soil formation processes can be derived. See more in guidelines for Soil Description issued by the FAO: table 13,,,
surfaceAge,lPp,,lPp,"Late Pleistocene, periglacial","Late Pleistocene, periglacial, commonly recent soil formation on preweathered materials.",,,The age of the landscape is important information from which the possible duration of the occurrence of soil formation processes can be derived. See more in guidelines for Soil Description issued by the FAO: table 13,,,
surfaceAge,O,,O,"Older, pre-Tertiary land surfaces","Older, pre-Tertiary land surfaces, commonly high planes, terraces or peneplains, except incised valleys, frequent occurrence of palaeosoils.",,,The age of the landscape is important information from which the possible duration of the occurrence of soil formation processes can be derived. See more in guidelines for Soil Description issued by the FAO: table 13,,,
surfaceAge,vYa,,vYa,Very young anthropogeomorphic,"Very young (1–10 years) anthropogeomorphic: with complete disturbance of natural surfaces (and soils) such as in urban, industrial and mining areas with very early soil development from fresh natural or technogenic or mixed materials.",,,The age of the landscape is important information from which the possible duration of the occurrence of soil formation processes can be derived. See more in guidelines for Soil Description issued by the FAO: table 13,,,
surfaceAge,vYn,,vYn,Very young natural,"Very young (1–10 years) natural: with loss by erosion or deposition of materials such as on tidal flats, of coastal dunes, in river valleys, landslides or desert areas.",,,The age of the landscape is important information from which the possible duration of the occurrence of soil formation processes can be derived. See more in guidelines for Soil Description issued by the FAO: table 13,,,
surfaceAge,lPf,,lPf,"Late Pleistocene, without periglacial influence.","Late Pleistocene, without periglacial influence.",,,The age of the landscape is important information from which the possible duration of the occurrence of soil formation processes can be derived. See more in guidelines for Soil Description issued by the FAO: table 13,,,
surfaceAge,Hn,,Hn,Holocene natural,"Holocene (100–10 000 years) natural: with loss by erosion or deposition of materials such as on tidal flats, of coastal dunes, in river valleys, landslides or desert areas.",,,The age of the landscape is important information from which the possible duration of the occurrence of soil formation processes can be derived. See more in guidelines for Soil Description issued by the FAO: table 13,,,
rootsAbundance,M,,M,Many,"“< 2 mm (number)> 200, > 2 mm (number)> 20“ ",,,classification of the abundance of roots.. See more in Guidelines for Soil Description issued by the FAO: table 80,,,
rootsAbundance,F,,F,Few,"“< 2 mm (number)20–50, > 2 mm (number) 2–5“",,,classification of the abundance of roots.. See more in Guidelines for Soil Description issued by the FAO: table 80,,,
rootsAbundance,C,,C,Common,"“< 2 mm (number)50–200 , > 2 mm (number)5–20“",,,classification of the abundance of roots.. See more in Guidelines for Soil Description issued by the FAO: table 80,,,
rootsAbundance,V,,V,Very few,"“< 2 mm (number)1–20 , > 2 mm (number)1–2“",,,classification of the abundance of roots.. See more in Guidelines for Soil Description issued by the FAO: table 80,,,
rootsAbundance,N,,N,,"“< 2 mm (number)0, > 2 mm (number)0“",,,classification of the abundance of roots.. See more in Guidelines for Soil Description issued by the FAO: table 80,,,
cementationFabric,Pi,,Pi,Pisolithic,The layer is largely constructed from cemented spherical nodules.,,,Classification of the fabric of the cemented/compacted layer. See more in Guidelines for Soil Description issued by the FAO: table 70,,,
cementationFabric,Pl,,Pl,Platy,The compacted or cemented parts are platelike and have a horizontal or subhorizontal orientation.,,,Classification of the fabric of the cemented/compacted layer. See more in Guidelines for Soil Description issued by the FAO: table 70,,,
cementationFabric,D,,D,Nodular,The layer is largely constructed from cemented nodules or concretions of irregular shape.,,,Classification of the fabric of the cemented/compacted layer. See more in Guidelines for Soil Description issued by the FAO: table 70,,,
cementationFabric,V,,V,Vesicular,"The layer has large, equidimensional voids that may be filled with uncemented material.",,,Classification of the fabric of the cemented/compacted layer. See more in Guidelines for Soil Description issued by the FAO: table 70,,,
saltCover,2,,2,Moderate,Moderate salt content of 15%–40%,,,"The occurrence of salt at the surface may be described in terms of cover, appearance and type of salt. See more in the guidelines for Soil Description issued by the FAO: table 22,1",,,
saltCover,1,,1,Low,Low salt content of 2%–15%,,,"The occurrence of salt at the surface may be described in terms of cover, appearance and type of salt. See more in the guidelines for Soil Description issued by the FAO: table 22,1",,,
saltCover,3,,3,High,High salt content of 40%–80%,,,"The occurrence of salt at the surface may be described in terms of cover, appearance and type of salt. See more in the guidelines for Soil Description issued by the FAO: table 22,1",,,
saltCover,0,,0,,No salt content of 0%–2%,,,"The occurrence of salt at the surface may be described in terms of cover, appearance and type of salt. See more in the guidelines for Soil Description issued by the FAO: table 22,1",,,
saltCover,4,,4,Dominant,Dominant salt content of more than 80%,,,"The occurrence of salt at the surface may be described in terms of cover, appearance and type of salt. See more in the guidelines for Soil Description issued by the FAO: table 22,1",,,
lithology,IU,I,IU,ultrabasic igneous,Hierarchy of lithology from the major class of igneous rock and the group of ultrabasic igneous,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IP1,IP,IP1,"tuff, tuffite","Hierarchy of lithology from the major class of igneous rock and the group of pyroclastic of type tuff, tuffite",,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IP,I,IP,pyroclastic,Hierarchy of lithology from the major class of igneous rock and the group of pyroclastic,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UO,U,UO,organic,Hierarchy of lithology from the group of organic,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UK2,UK,UK2,periglacial solifluction layer,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of kryogenic of type periglacial solifluction layer,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,I,,I,igneous rock,Hierarchy of lithology from the major class of igneous rock,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UE,U,UE,eolian,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of eolian,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SC3,SC,SC3,"silt-, mud-, claystone","Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of clastic sediments of type silt-, mud-, claystone",,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UF2,UF,UF2,"clay, silt and loam","Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of fluvial of type clay, silt and loam",,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UR,U,UR,weathered residuum,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of weathered residuum,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UU4,UU,UU4,gravelly sand,Hierarchy of lithology from the group of unspecified deposits of type gravelly sand,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MU,M,MU,ultrabasic metamorphic,Hierarchy of lithology from the major class of metamorphic rock and the group of ultrabasic metamorphic,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IA2,IA,IA2,grano-diorite,Hierarchy of lithology from the major class of igneous rock and the group of acid igneous of type grano-diorite,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SC5,SC,SC5,ironstone,Hierarchy of lithology from the major class of sedimentary rock (consolidated)and the group of acid metamorphic of type ironstone,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UG2,UG,UG2,UG2 glacio-fluvial sand,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of glacial of type glacio-fluvial sand,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MA,M,MA,acid metamorphic,Hierarchy of lithology from the major class of metamorphic rock and the group of acid metamorphic,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UG1,UG,UG1,moraine,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of glacial of type moraine,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UM,U,UM,"marine, estuarine","Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of marine, estuarine",,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IA1,IA,IA1,diorite,Hierarchy of lithology from the major class of igneous rock and the group of acid igneous of type diorite,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UU1,UU,UU1,clay,Hierarchy of lithology from the group of unspecified deposits of type clay,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MB3,MB,MB3,gneiss rich in Fe–Mg minerals,Hierarchy of lithology from the major class of metamorphic rock and the group of basic metamorphic of type gneiss rich in Fe–Mg minerals,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,II1,II,II1,"andesite, trachyte, phonolite","Hierarchy of lithology from the major class of igneous rock and the group of intermediate igneous of type andesite, trachyte, phonolite",,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UA,U,UA,anthropogenic/technogenic,Hierarchy of lithology from the group of anthropogenic/technogenic,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UC1,UC,UC1,slope deposits,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of colluvial of type slope deposits,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SO2,SO,SO2,marl and other mixtures,"Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of carbonatic, organic of type marl and other mixtures",,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UU5,UU,UU5,"gravel, broken rock","Hierarchy of lithology from the group of unspecified deposits of type gravel, broken rock",,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IB1,IB,IB1,gabbro,Hierarchy of lithology from the major class of igneous rock and the group of basic igneous of type gabbro,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IA,I,IA,acid igneous,Hierarchy of lithology from the major class of igneous rock and the group of acid igneous,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IA4,IA,IA4,rhyolite,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of acid igneous of type rhyolite,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MB2,MB,MB2,(green)schist,Hierarchy of lithology from the major class of metamorphic rock and the group of acid metamorphic of type (green)schist,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IU2,IU,IU2,pyroxenite,Hierarchy of lithology from the major class of igneous rock and the group of ultrabasic igneous of type pyroxenite,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UF1,UF,UF1,sand and gravel,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of fluvial of type sand and gravel,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SC4,SC,SC4,shale,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of clastic sediments of type shale,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MA3,MA,MA3,"slate, phyllite (pelitic rocks)","Hierarchy of lithology from the major class of metamorphic rock and the group of acid metamorphic of type slate, phyllite (pelitic rocks)",,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UC,U,UC,colluvial,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of colluvial,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
