foi,attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition,pub_chem,inchi_key,inchi
Layer-Horizon,physioChemical,Carinorg,,Carinorg,Carbon (C) - inorganic,"Inorganic carbon in soil primarily consists of carbonates like calcium carbonate and magnesium carbonate. It contributes to soil pH buffering and is a significant feature of arid and calcareous soils. Excess inorganic carbon can immobilize certain nutrients, requiring careful management in agricultural systems. Source: Soil Science Society of America.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462310,OKTJSMMVPCPJKN-UHFFFAOYSA-N,1S/C
Layer-Horizon,physioChemical,Sodsol,,Sodsol,Sodium (Na+) - soluble,Soluble Sodium cations accumulated in the soil. A contributor to soil salinisation.,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",923,FKNQFGJONOIPTF-UHFFFAOYSA-N,1S/Na/q+1
Layer-Horizon,physioChemical,Alutot,,Alutot,Aluminium (Al) total,"Total concentration of aluminium in the soil, including both soluble and insoluble forms, typically measured after complete digestion of the soil sample.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5359268,XAGFODPZIPBFFR-UHFFFAOYSA-N,1S/Al
Layer-Horizon,physioChemical,BulDfine,,BulDfine,Bulk Density of the fine earth fraction,"This parameter measures the bulk density of the soil fraction smaller than 2 mm (excluding rocks and coarse fragments). It is used to assess the physical properties of soil related to root growth, water movement, and compaction. Source: Soil Science Society of America.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Sodexp,,Sodexp,Sodium (Na+) - exchangeable,Sodium bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",923,FKNQFGJONOIPTF-UHFFFAOYSA-N,1S/Na/q+1
Layer-Horizon,physioChemical,Sultot,,Sultot,Sulfur (S) - total,"Total sulfur in soil includes both organic and inorganic forms, such as sulfates and sulfur in organic matter. Sulfur is essential for protein synthesis and enzyme functions in plants. Deficiency leads to stunted growth and yellowing of leaves. Total sulfur provides insight into the soil's potential to release plant-available sulfur over time, critical for sustaining crop health. Source: Havlin, J.L., et al. (2014). Soil Fertility and Fertilizers.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5362487,NINIDFKCEFEMDL-UHFFFAOYSA-N,1S/S
Layer-Horizon,physioChemical,Zin,,Zin,Zinc (Zn),"Zinc is a micronutrient essential for plant enzyme systems, protein synthesis, and growth regulation. Deficiency is common in calcareous soils and results in stunted growth and chlorosis. Zinc fertilizers or soil pH adjustments can address deficiencies. Source: Havlin et al. (2014).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23994,HCHKCACWOHOZIP-UHFFFAOYSA-N,1S/Zn
Layer-Horizon,physioChemical,Bascal,,Bascal,Base saturation - calculated,"Base saturation represents the percentage of the soil's cation exchange capacity (CEC) occupied by basic cations such as calcium (Ca²⁺), magnesium (Mg²⁺), potassium (K⁺), and sodium (Na⁺). Higher base saturation typically correlates with higher fertility and a greater ability to supply essential nutrients to plants. This parameter also influences soil pH buffering capacity. Source: Brady & Weil (2017).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Phooxa,,Phooxa,Phosphorus (P) - oxalate extractable,'Active' phosphorus content extracted from amorphous phosphorus compounds that are the products of the weathering of primary soil particles,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462309,OAICVXFJPJFONN-UHFFFAOYSA-N,1S/P
Layer-Horizon,physioChemical,Manoxa,,Manoxa,Manganese (Mn) - oxalate extractable,'Active' manganese content extracted from amorphous manganese compounds that are the products of the weathering of primary soil particles,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23930,PWHULOQIROXLJO-UHFFFAOYSA-N,1S/Mn
Layer-Horizon,physioChemical,Pho,,Pho,Phosphate (PO4---) - soluble,Soluble Phosphate anions accumulated in the soil. A contributor to soil salinisation.,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",1061,NBIIXXVUZAFLBC-UHFFFAOYSA-K,"1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3"
Layer-Horizon,physioChemical,Magexc,,Magexc,Magnesium (Mg++) - exchangeable,Magnesium bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",888,JLVVSXFLKOJNIY-UHFFFAOYSA-N,1S/Mg/q+2
Layer-Horizon,physioChemical,Solsal,,Solsal,Soluble salts,"Soluble salts refer to dissolved salts in the soil solution, primarily composed of sodium, calcium, magnesium, chloride, and sulfate ions. Excessive soluble salts cause salinity, which can impair plant water uptake and lead to osmotic stress. EC testing helps monitor salinity levels for effective management. Source: Soil Science Society of America.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Calexc,,Calexc,Calcium (Ca++) - exchangeable,Calcium bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",271,BHPQYMZQTOCNFJ-UHFFFAOYSA-N,1S/Ca/q+2
Layer-Horizon,physioChemical,Carful,,Carful,Carbon (C) - fulvic acid,"Fulvic acid carbon is the most soluble and bioavailable fraction of soil organic matter. It plays a significant role in improving nutrient uptake, soil structure, and microbial activity, thereby enhancing soil productivity. Source: Stevenson, F.J. (1994).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462310,OKTJSMMVPCPJKN-UHFFFAOYSA-N,1S/C
Layer-Horizon,physioChemical,Potext,,Potext,Potassium (K) - extractable,Potassium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462222,ZLMJMSJWJFRBEC-UHFFFAOYSA-N,1S/K
Layer-Horizon,physioChemical,Brod,,Brod,Bromide (Br-) - extractable,Bromide bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",259,CPELXLSAUQHCOX-UHFFFAOYSA-M,1S/BrH/h1H/p-1
Layer-Horizon,physioChemical,Aludit,,Aludit,Aluminium (Al) - dithionite extractable,"'Free' aluminium content extracted from amorphous compounds (weathering products) as well as crystaline, primary aluminium compounds (parent material) in the soil.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5359268,XAGFODPZIPBFFR-UHFFFAOYSA-N,1S/Al
Layer-Horizon,physioChemical,Zinext,,Zinext,Zinc (Zn) - extractable,Zinc bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23994,HCHKCACWOHOZIP-UHFFFAOYSA-N,1S/Zn
Layer-Horizon,physioChemical,Iroext,,Iroext,Iron (Fe) - extractable,Iron bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23925,XEEYBQQBJWHFJM-UHFFFAOYSA-N,1S/Fe
Layer-Horizon,physioChemical,Sodext,,Sodext,Sodium (Na) - extractable,Sodium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5360545,KEAYESYHFKHZAL-UHFFFAOYSA-N,1S/Na
Layer-Horizon,physioChemical,Alupyr,,Alupyr,Aluminium (Al) - pyrophosphate extractable,Aluminium in soil that is organically bound in organo-metal complexes,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5359268,XAGFODPZIPBFFR-UHFFFAOYSA-N,1S/Al
Layer-Horizon,physioChemical,CEC,,CEC,Cation exchange capacity (CEC),"CEC measures the soil’s ability to hold and exchange positively charged ions (cations). It is a critical indicator of soil fertility, as higher CEC values imply greater capacity to retain essential nutrients like calcium, magnesium, and potassium. Clayey and organic-rich soils typically exhibit higher CEC. Source: Soil Science Society of America.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Chl,,Chl,Chloride (Cl-) - soluble,Soluble Chloride anions accumulated in the soil. A contributor to soil salinisation.,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",312,VEXZGXHMUGYJMC-UHFFFAOYSA-M,1S/ClH/h1H/p-1
Layer-Horizon,physioChemical,Bortot,,Bortot,Boron (B) - total,"Total boron includes all boron forms in soil, crucial for plant cell wall formation and reproductive processes. Deficiency can impair growth, while toxicity is a risk in arid soils or with excessive irrigation. Source: Havlin et al. (2014).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462311,ZOXJGFHDIHLPTG-UHFFFAOYSA-N,1S/B
Layer-Horizon,physioChemical,Nit3,,Nit3,Nitrate (NO3-) - soluble,Soluble Nitrate anions accumulated in the soil. A contributor to soil salinisation.,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",943,NHNBFGGVMKEFGY-UHFFFAOYSA-N,1S/NO3/c2-1(3)4/q-1
Layer-Horizon,physioChemical,Orgmat,,Orgmat,Organic matter,"Soil organic matter is composed of decomposed plant and animal residues, living soil organisms, and humus. It improves soil structure, water retention, nutrient supply, and microbial activity, making it critical for sustainable agriculture and soil health. Source: Brady & Weil (2017).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Sodtot,,Sodtot,Sodium (Na) - total,"Total sodium includes all sodium present in soil, both soluble and bound. Excess sodium can lead to sodicity, which disrupts soil structure, reduces permeability, and impairs plant growth. Monitoring sodium levels is crucial for managing soil salinity in arid and irrigated regions. Source: Bohn, H.L., et al. (2001). Soil Chemistry.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5360545,KEAYESYHFKHZAL-UHFFFAOYSA-N,1S/Na
Layer-Horizon,physioChemical,Phoext,,Phoext,Phosphorus (P) - extractable,Phosphorus bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",5462309,OAICVXFJPJFONN-UHFFFAOYSA-N,1S/P
Layer-Horizon,physioChemical,Mantot,,Mantot,Manganese (Mn) - total,"Total manganese refers to all forms of manganese in the soil, which is critical for photosynthesis, enzyme activation, and nitrogen metabolism in plants. Manganese deficiencies or toxicities are influenced by soil pH, with deficiencies occurring in high-pH soils and toxicities in low-pH, waterlogged soils.  Source: Brady & Weil (2017).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23930,PWHULOQIROXLJO-UHFFFAOYSA-N,1S/Mn
Layer-Horizon,physioChemical,Coptot,,Coptot,Copper (Cu) - total,"Total copper comprises all soil copper, including bound and free forms. Copper is vital for plant enzyme activation and metabolic processes. Deficiencies can lead to reduced growth and yields, while excess copper may inhibit root development. Source: Soil Science Society of America.",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",23978,RYGMFSIKBFXOCR-UHFFFAOYSA-N,1S/Cu
Layer-Horizon,physioChemical,ECEC,,ECEC,Cation exchange capacity effective (ECEC),"ECEC is the sum of exchangeable cations in soil at its natural pH. It provides a measure of the soil’s fertility under acidic conditions, as it considers both base cations and exchangeable aluminum. Source: Brady & Weil (2017).",,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",,,
Layer-Horizon,physioChemical,Magsol,,Magsol,Magnesium (Mg++) - soluble,Soluble Magnesium cations accumulated in the soil. A contributor to soil salinisation.,,,True,"ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a",888,JLVVSXFLKOJNIY-UHFFFAOYSA-N,1S/Mg/q+2
